Price_in_Rupees,Ram,Rom,Expandable_GB/TB,Screen_in_inch,Secondary_Camera(MP),Battery_details,Warranty(Year),Rating,Dual_sim_num
15999,6,64,256,6.3,25,4045,1,4.5,1
16999,6,128,256,6.3,25,4045,1,4.5,1
13999,4,64,256,6.3,25,4045,1,4.5,1
7999,3,32,256,5.99,16,3080,1,4.5,1
59999,64,32,256,5.8,16,4000,1,4.6,1
6999,3,32,256,5.45,5,3000,1,4.4,1
17990,4,128,256,6.53,16,4020,1,4.4,1
17990,4,128,256,6.53,16,4020,1,4.4,1
23990,6,128,256,6.5,16,4000,1,4.5,1
23990,6,128,256,6.5,16,4000,1,4.5,1
20990,6,64,256,6.5,16,4000,1,4.5,1
20990,6,64,256,6.5,16,4000,1,4.5,1
3945,1,16,64,5.5,2,2200,1,3.7,1
3880,1,8,64,5.0,2,2300,1,3.5,1
3999,1,8,32,5.0,0,2050,1,4.0,1
3959,1,8,32,5.0,0,2050,1,4.0,1
3959,1,8,32,5.0,0,2050,1,4.0,1
3250,1,8,32,4.0,0,1700,1,3.8,1
3699,1,8,32,5.34,5,2700,1,4.1,1
3699,1,8,32,4.0,5,1600,1,3.6,1
3999,1,8,32,5.0,2,2000,1,4.0,1
3897,2,16,32,5.0,5,3000,1,3.3,1
4699,15,16,128,5.0,5,3900,1,3.8,1
3860,1,8,32,5.34,5,3000,1,3.7,1
8990,2,32,256,6.2,8,4230,1,4.3,1
9990,3,32,256,6.2,8,4230,1,4.4,1
8990,2,32,256,6.2,8,4230,1,4.3,1
9990,3,32,256,6.2,8,4230,1,4.4,1
7990,2,16,256,6.2,8,4230,1,4.3,1
7990,2,16,256,6.2,8,4230,1,4.3,1
10990,4,64,256,6.2,8,4230,1,4.3,1
10990,4,64,256,6.2,8,4230,1,4.3,1
14990,4,64,256,6.41,25,3600,1,4.4,1
14990,4,64,256,6.41,25,3600,1,4.4,1
13999,4,64,256,6.3,13,4000,1,4.5,1
13999,4,64,256,6.3,13,4000,1,4.5,1
9999,3,64,256,6.22,13,4230,1,4.5,1
10999,4,64,256,6.22,13,4230,1,4.4,1
10999,4,64,256,6.22,13,4230,1,4.4,1
10999,3,32,256,6.3,13,4000,1,4.4,1
13999,4,64,256,6.3,25,4045,1,4.5,1
7999,3,32,256,5.99,16,3080,1,4.5,1
10999,3,32,256,6.3,13,4000,1,4.4,1
13999,4,64,256,6.3,25,4045,1,4.5,1
7999,3,32,256,5.99,16,3080,1,4.5,1
11999,4,64,256,6.26,20,4000,1,4.5,1
29990,8,128,256,6.4,25,3700,1,4.4,1
7990,2,16,256,6.2,8,4230,1,4.3,1
7990,2,16,256,6.2,8,4230,1,4.3,1
13990,4,64,256,6.2,16,4230,1,4.4,1
17990,6,64,256,6.3,25,3500,1,4.5,1
17990,6,64,256,6.3,25,3500,1,4.5,1
17990,6,64,256,6.3,25,3500,1,4.5,1
11990,4,64,256,6.2,8,4230,1,4.3,1
9990,3,32,256,6.2,8,4230,1,4.3,1
9990,3,32,256,6.2,8,4230,1,4.3,1
11990,4,32,256,6.2,8,4230,1,4.3,1
8990,2,32,256,6.2,8,4230,1,4.3,1
13990,4,64,256,6.2,16,4230,1,4.4,1
9990,3,32,256,6.2,8,4230,1,4.4,1
6999,3,32,256,5.45,5,3000,1,4.4,1
6999,3,32,256,5.45,5,3000,1,4.4,1
6999,2,32,256,6.21,8,3500,1,4.2,1
6999,2,32,256,6.2,5,4230,1,4.4,1
6999,2,32,256,6.2,5,4230,1,4.4,1
6999,2,16,256,6.2,5,4230,1,4.4,1
6999,2,32,256,6.21,8,3500,1,4.2,1
6999,2,32,256,6.21,8,3500,1,4.2,1
6670,2,32,128,5.45,8,3000,1,4.3,1
6739,2,32,128,5.45,8,3000,1,4.3,1
6894,2,32,128,5.45,8,3000,1,4.3,1
6545,2,16,128,5.45,5,3000,1,4.3,1
6799,2,32,128,5.45,5,3000,1,4.3,1
6999,3,32,256,5.45,8,4000,1,4.0,1
6465,2,16,128,5.45,5,3000,1,4.3,1
6499,2,16,128,5.5,5,3000,1,4.1,1
6475,2,16,128,5.45,5,3000,1,4.3,1
6990,2,16,128,5.7,5,3300,1,4.3,1
6289,3,32,128,5.85,5,3000,1,3.7,1
5290,1,16,256,5.0,5,2600,1,4.2,1
6999,2,16,128,5.7,8,4000,1,4.0,1
5046,1,8,128,5.5,8,4000,1,4.1,1
6450,2,16,128,5.45,8,3000,1,4.3,1
5290,1,16,256,5.0,5,2600,1,4.2,1
9999,3,64,256,6.22,13,4230,1,4.5,1
7999,3,32,256,5.99,16,3080,1,4.5,1
7999,3,32,256,5.99,16,3080,1,4.5,1
7999,3,32,256,5.99,16,3080,1,4.5,1
9490,4,64,256,5.6,8,3000,1,4.5,1
8490,3,32,256,6.1,5,3260,1,4.4,1
8490,3,32,256,6.1,5,3260,1,4.4,1
7990,2,32,512,6.2,5,3400,1,4.3,1
7999,3,32,128,6.0,5,5000,1,4.2,1
9490,4,64,256,5.6,8,3000,1,4.5,1
9990,3,32,256,6.22,8,4030,1,4.4,1
9999,3,32,512,6.21,24,3400,1,4.3,1
9490,4,64,256,5.6,8,3000,1,4.5,1
8990,2,32,256,6.2,8,4230,1,4.3,1
9399,4,64,128,5.5,5,3080,1,4.4,1
9990,3,32,256,6.2,8,4230,1,4.4,1
8990,2,32,256,6.2,8,4230,1,4.3,1
9990,3,32,256,6.2,8,4230,1,4.4,1
9999,3,32,512,6.21,24,3400,1,4.3,1
9999,4,64,256,5.99,16,3080,1,4.4,1
9195,4,64,256,6.18,16,3000,1,4.1,1
7990,2,16,256,6.2,8,4230,1,4.3,1
9999,4,64,256,5.99,16,3080,1,4.4,1
7990,2,32,256,6.22,5,4030,1,4.3,1
4799,1,16,128,5.0,5,3000,1,4.3,1
4499,1,8,128,5.0,5,3000,1,4.3,1
4799,1,16,128,5.0,5,3000,1,4.3,1
4499,2,16,128,5.45,8,3050,1,4.1,1
4999,2,16,128,5.45,5,4000,1,4.0,1
4999,2,16,128,5.45,5,4000,1,4.0,1
4999,2,16,128,5.45,5,4000,1,4.0,1
4749,1,16,32,5.45,5,5000,1,3.9,1
4990,2,16,256,5.45,5,2670,1,4.1,1
4245,1,8,128,4.5,2,2150,1,4.0,1
4799,2,16,128,5.34,2,3000,1,4.1,1
4999,2,16,256,5.45,5,3000,1,4.2,1
4119,2,16,128,5.34,5,3000,1,4.1,1
3849,1,8,128,5.34,5,2700,1,4.1,1
4999,2,16,32,5.45,5,3000,1,4.1,1
4290,1,8,32,4.5,5,2150,1,4.0,1
4999,2,16,128,5.45,5,2350,1,4.3,1
4999,1,16,32,5.45,5,3000,1,4.1,1
3999,1,8,32,4.5,5,2000,1,3.7,1
3999,1,8,64,4.5,5,2000,1,3.7,1
7999,3,32,256,5.99,16,3080,1,4.5,1
10999,3,32,256,6.3,13,4000,1,4.4,1
12999,4,64,256,6.3,13,4000,1,4.5,1
8999,4,64,128,5.9,13,3340,1,4.3,1
11999,6,64,128,5.99,20,4000,1,4.5,1
8999,4,64,128,5.9,13,3340,1,4.3,1
11999,4,64,256,6.26,20,4000,1,4.5,1
10490,4,64,256,6.3,16,3500,1,4.5,1
10490,4,64,256,6.3,16,3500,1,4.5,1
9490,4,64,256,5.6,8,3000,1,4.5,1
12490,6,64,256,6.3,16,3500,1,4.5,1
8490,3,32,256,6.1,5,3260,1,4.4,1
4499,1,16,128,5.0,5,2550,1,3.8,1
4599,2,16,32,5.0,5,2000,1,3.7,1
4999,1,16,32,5.45,5,3000,1,4.1,1
4499,1,16,64,5.0,5,2500,1,4.0,1
5999,2,16,256,6.1,5,4000,1,4.5,1
5999,2,16,256,6.1,5,4000,1,4.5,1
5499,2,16,256,5.45,5,3020,1,4.1,1
4799,1,16,128,5.0,5,3000,1,4.3,1
5999,2,16,256,5.45,8,4000,1,4.1,1
5999,3,32,128,6.0,8,3000,1,3.6,1
5999,3,32,128,5.45,8,3050,1,4.0,1
5290,1,16,256,5.0,5,2600,1,4.2,1
4749,1,16,32,5.45,5,5000,1,3.9,1
4245,1,8,128,4.5,2,2150,1,4.0,1
4799,2,16,128,5.34,2,3000,1,4.1,1
5290,1,16,256,5.0,5,2600,1,4.2,1
4119,2,16,128,5.34,5,3000,1,4.1,1
4290,1,8,32,4.5,5,2150,1,4.0,1
4999,2,16,32,5.45,5,3000,1,4.1,1
4999,2,16,32,5.0,5,2600,1,3.5,1
4999,2,16,32,5.0,5,4000,1,3.6,1
3490,1,8,128,4.5,5,2000,1,3.3,1
5499,2,16,32,5.34,8,3000,1,4.0,1
5390,1,16,256,5.0,5,2600,1,4.2,1
3999,1,8,32,4.5,5,2000,1,3.7,1
4999,1,16,32,5.45,5,3000,1,4.1,1
20990,6,64,256,6.5,16,4000,1,4.5,1
10990,3,64,256,6.22,8,4030,1,4.4,1
13990,4,64,256,6.35,8,5000,1,4.4,1
13990,4,64,256,6.35,8,5000,1,4.4,1
9490,4,64,256,5.6,8,3000,1,4.5,1
14459,4,64,256,5.8,8,3060,1,4.2,1
10990,4,64,256,6.2,8,4230,1,4.3,1
14990,4,64,256,6.41,25,3600,1,4.4,1
14990,4,64,256,6.41,25,3600,1,4.4,1
3999,1,8,64,4.5,5,2000,1,3.7,1
5490,1,8,256,5.0,5,2600,1,4.2,1
4599,2,16,32,5.0,5,2000,1,3.7,1
4999,1,16,32,5.45,5,3000,1,4.1,1
6899,2,16,128,5.7,13,3020,1,3.9,1
7999,3,32,256,6.1,5,4000,1,4.4,1
7999,3,32,256,6.1,5,4000,1,4.4,1
7999,3,32,256,5.99,16,3080,1,4.5,1
7499,3,64,256,5.45,5,3000,1,4.4,1
7999,3,32,256,5.99,16,3080,1,4.5,1
7499,3,64,256,5.45,5,3000,1,4.4,1
7999,3,32,256,5.99,16,3080,1,4.5,1
7499,3,64,256,5.45,5,3000,1,4.4,1
7499,3,64,256,5.45,5,3000,1,4.4,1
6999,2,32,256,6.2,5,4230,1,4.4,1
7999,3,32,256,5.65,13,3000,1,4.3,1
7990,2,32,512,6.2,5,3400,1,4.3,1
6670,2,32,128,5.45,5,3000,1,4.3,1
7999,3,32,128,6.0,5,5000,1,4.2,1
6799,2,32,128,5.45,5,3000,1,4.3,1
7999,3,32,2,5.99,8,5000,1,4.3,1
6730,2,32,128,5.45,8,3000,1,4.3,1
7990,2,16,256,6.2,8,4230,1,4.3,1
7990,2,32,256,6.22,5,4030,1,4.3,1
26600,4,64,256,5.7,16,3300,1,4.4,1
14499,4,64,256,6.0,16,3500,1,4.4,1
18490,4,64,512,6.4,25,4000,1,4.3,1
21490,6,64,512,6.4,25,4000,1,4.4,1
15990,4,64,512,6.0,24,3300,1,4.3,1
19990,6,128,512,6.0,24,3300,1,4.4,1
25500,4,64,256,5.6,16,3000,1,4.4,1
17500,4,64,512,6.4,16,4000,1,4.4,1
15990,4,64,512,6.0,24,3300,1,4.3,1
7990,2,32,256,6.22,5,4030,1,4.3,1
7999,3,32,128,5.7,5,3300,1,4.3,1
3499,1,8,32,5.0,2,2000,1,4.1,1
3499,1,8,32,5.0,2,2000,1,4.1,1
4245,1,8,128,4.5,2,2150,1,4.0,1
3849,1,8,128,5.34,5,2700,1,4.1,1
3999,1,8,32,4.5,5,2000,1,3.7,1
3999,1,16,64,5.34,5,2300,1,4.0,1
3999,1,8,64,4.5,5,2000,1,3.7,1
3988,2,16,32,5.5,5,2800,1,3.7,1
3699,1,16,32,5.0,2,2000,1,3.5,1
3249,1,8,32,4.5,2,1800,1,3.0,1
4199,1,8,32,5.0,2,2000,1,3.8,1
4149,1,8,8,5.0,2,2300,1,3.6,1
7990,2,32,256,6.1,5,4000,1,4.4,1
7999,3,32,128,5.2,8,4000,1,4.1,1
16999,3,32,128,5.5,5,5100,1,4.3,1
9399,4,64,128,5.5,13,4000,1,4.1,1
15499,3,32,128,5.0,8,3500,1,3.9,1
7990,2,32,256,6.1,5,4000,1,4.4,1
6649,2,16,256,5.5,5,3000,1,4.1,1
8990,3,64,256,5.5,8,3300,1,4.3,1
8990,3,64,256,5.5,8,3300,1,4.3,1
8999,3,32,256,6.22,13,4230,1,4.5,1
8999,3,32,256,6.22,13,4230,1,4.5,1
8499,4,64,2,5.99,8,5000,1,4.3,1
7999,3,32,256,5.99,16,3080,1,4.5,1
7999,3,32,256,5.99,16,3080,1,4.5,1
7999,3,32,256,5.99,16,3080,1,4.5,1
8999,4,64,128,5.9,13,3340,1,4.3,1
6999,2,32,256,6.2,5,4230,1,4.4,1
8499,3,32,256,6.2,5,4230,1,4.4,1
8495,2,32,256,6.2,5,4230,1,4.4,1
8999,4,64,128,5.9,13,3340,1,4.3,1
8999,3,32,256,5.84,16,3000,1,4.4,1
8999,3,32,256,6.21,32,4000,1,4.2,1
8999,4,64,256,5.84,16,3000,1,4.3,1
8999,4,64,256,5.84,16,3000,1,4.3,1
8490,3,32,256,6.1,5,3260,1,4.4,1
8490,3,32,256,6.1,5,3260,1,4.4,1
8999,3,32,256,6.21,32,4000,1,4.2,1
8999,3,32,256,6.21,32,4000,1,4.2,1
8999,3,32,256,5.65,13,3000,1,4.3,1
7990,2,32,512,6.2,5,3400,1,4.3,1
7999,3,32,128,6.0,5,5000,1,4.2,1
10999,3,32,256,6.3,13,4000,1,4.4,1
10999,4,64,256,6.22,13,4230,1,4.4,1
10999,4,64,256,6.22,13,4230,1,4.4,1
9999,3,64,256,6.22,13,4230,1,4.5,1
7999,3,32,256,5.99,16,3080,1,4.5,1
10999,3,32,256,6.3,13,4000,1,4.4,1
9999,3,32,256,6.3,13,4000,1,4.4,1
7999,3,32,256,5.99,16,3080,1,4.5,1
10999,3,32,256,6.3,13,4000,1,4.4,1
7999,3,32,256,5.99,16,3080,1,4.5,1
8999,4,64,128,5.9,13,3340,1,4.3,1
10490,4,64,256,6.3,16,3500,1,4.5,1
8490,3,32,256,6.1,5,3260,1,4.4,1
8490,3,32,256,6.1,5,3260,1,4.4,1
9490,4,64,256,5.6,8,3000,1,4.5,1
10990,3,64,256,6.22,8,4030,1,4.4,1
10999,4,128,256,5.84,16,3000,1,4.3,1
10999,4,128,256,5.84,16,3000,1,4.3,1
7990,2,32,512,6.2,5,3400,1,4.3,1
7999,3,32,128,6.0,5,5000,1,4.2,1
9490,4,64,256,5.6,8,3000,1,4.5,1
10990,4,64,256,6.2,8,4230,1,4.3,1
10990,4,64,256,6.2,8,4230,1,4.3,1
9990,3,32,256,6.22,8,4030,1,4.4,1
10999,4,64,256,6.22,13,4230,1,4.4,1
10999,4,64,256,6.22,13,4230,1,4.4,1
9999,3,64,256,6.22,13,4230,1,4.5,1
10999,3,32,256,6.3,13,4000,1,4.4,1
10999,3,32,256,6.3,13,4000,1,4.4,1
7999,3,32,256,5.99,16,3080,1,4.5,1
7999,3,32,256,5.99,16,3080,1,4.5,1
9999,3,32,256,6.3,13,4000,1,4.4,1
11999,4,64,256,6.26,20,4000,1,4.5,1
10999,3,32,256,6.3,13,4000,1,4.4,1
7999,3,32,256,5.99,16,3080,1,4.5,1
8999,4,64,128,5.9,13,3340,1,4.3,1
11999,6,64,128,5.99,20,4000,1,4.5,1
8999,4,64,128,5.9,13,3340,1,4.3,1
10490,4,64,256,6.3,16,3500,1,4.5,1
9490,4,64,256,5.6,8,3000,1,4.5,1
8490,3,32,256,6.1,5,3260,1,4.4,1
8490,3,32,256,6.1,5,3260,1,4.4,1
9999,3,32,256,6.3,13,4000,1,4.4,1
11999,4,64,256,6.26,20,4000,1,4.5,1
10990,3,64,256,6.22,8,4030,1,4.4,1
10999,4,128,256,5.84,16,3000,1,4.3,1
10999,4,128,256,5.84,16,3000,1,4.3,1
7990,2,32,512,6.2,5,3400,1,4.3,1
16999,6,128,256,6.3,13,4000,1,4.5,1
16999,6,128,256,6.3,13,4000,1,4.5,1
15999,6,64,256,6.3,25,4045,1,4.5,1
16999,6,128,256,6.3,25,4045,1,4.5,1
15999,6,64,256,6.3,25,4045,1,4.5,1
16999,6,128,256,6.3,13,4000,1,4.5,1
15990,4,128,256,6.35,8,5000,1,4.3,1
15990,4,128,256,6.35,8,5000,1,4.3,1
19990,6,64,256,6.53,32,4000,1,4.4,1
15490,4,64,512,6.4,16,4000,1,4.4,1
17990,6,64,256,6.3,25,3500,1,4.5,1
17990,6,64,256,6.3,25,3500,1,4.5,1
17990,6,64,256,6.3,25,3500,1,4.5,1
13990,4,64,256,6.2,16,4230,1,4.4,1
18599,6,128,256,6.5,16,3750,1,4.4,1
18450,6,128,256,6.5,16,3750,1,4.4,1
13990,4,64,256,6.22,20,4030,1,4.4,1
13990,4,64,256,6.22,20,4030,1,4.4,1
17999,6,64,256,6.18,20,4000,1,4.6,1
8999,4,64,128,5.9,13,3340,1,4.3,1
17990,4,128,256,6.53,16,4020,1,4.4,1
17990,4,128,256,6.53,16,4020,1,4.4,1
11999,6,64,128,5.99,20,4000,1,4.5,1
8999,4,64,128,5.9,13,3340,1,4.3,1
9490,4,64,256,5.6,8,3000,1,4.5,1
20990,6,64,256,6.5,16,4000,1,4.5,1
8490,3,32,256,6.1,5,3260,1,4.4,1
8999,4,64,128,5.9,13,3340,1,4.3,1
17990,4,128,256,6.53,16,4020,1,4.4,1
17990,4,128,256,6.53,16,4020,1,4.4,1
23990,6,128,256,6.5,16,4000,1,4.5,1
23990,6,128,256,6.5,16,4000,1,4.5,1
8999,4,64,128,5.9,13,3340,1,4.3,1
20990,6,64,256,6.5,16,4000,1,4.5,1
20990,6,64,256,6.5,16,4000,1,4.5,1
20999,6,128,256,6.18,20,4000,1,4.6,1
14990,4,64,256,6.41,25,3600,1,4.4,1
14990,4,64,256,6.41,25,3600,1,4.4,1
19990,6,64,256,6.53,32,4000,1,4.4,1
8999,4,64,128,5.9,13,3340,1,4.3,1
8999,4,64,128,5.9,13,3340,1,4.3,1
23990,6,128,256,6.5,16,4000,1,4.5,1
23990,6,128,256,6.5,16,4000,1,4.5,1
17990,4,128,256,6.53,16,4020,1,4.4,1
17990,4,128,256,6.53,16,4020,1,4.4,1
20999,6,128,256,6.18,20,4000,1,4.6,1
20990,6,64,256,6.5,16,4000,1,4.5,1
20990,6,64,256,6.5,16,4000,1,4.5,1
19990,6,64,256,6.53,32,4000,1,4.4,1
19990,6,64,256,6.53,32,4000,1,4.4,1
14990,4,64,256,6.41,25,3600,1,4.4,1
14990,4,64,256,6.41,25,3600,1,4.4,1
15990,4,128,256,6.35,8,5000,1,4.3,1
15990,4,128,256,6.35,8,5000,1,4.3,1
15490,4,64,512,6.4,16,4000,1,4.4,1
17990,6,64,256,6.3,25,3500,1,4.5,1
17990,6,64,256,6.3,25,3500,1,4.5,1
17990,6,64,256,6.3,25,3500,1,4.5,1
18599,6,128,256,6.5,16,3750,1,4.4,1
18450,6,128,256,6.5,16,3750,1,4.4,1
29990,8,128,256,6.39,5,3700,1,4.6,1
13990,4,64,256,6.2,16,4230,1,4.4,1
27999,8,256,256,6.18,20,4000,1,4.6,1
35999,8,128,256,6.6,16,5000,1,5.0,1
35999,8,128,257,6.6,16,5000,1,5.0,1
29990,8,128,256,6.39,5,3700,1,4.6,1
39999,4,64,128,5.6,8,3000,1,4.5,1
18899,6,64,128,6.3,8,3700,1,4.3,1
39999,6,128,256,6.39,20,4000,1,4.7,1
39990,16,64,128,5.5,20,4000,1,4.3,1
39990,32,64,128,5.5,20,4000,1,4.4,1
15490,4,64,512,6.4,16,4000,1,4.4,1
15490,4,64,512,6.4,16,4000,1,4.4,1
15690,4,64,256,6.4,16,5000,1,4.4,1
18899,6,64,256,6.3,16,3700,1,4.3,1
16299,4,64,256,6.4,16,5000,1,4.4,1
29529,32,64,128,4.7,20,4000,1,4.5,1
26990,6,128,256,6.39,5,3700,1,4.5,1
29990,8,128,256,6.39,5,3700,1,4.6,1
39999,4,64,128,5.6,8,3000,1,4.5,1
36990,6,64,256,6.3,8,3300,1,4.6,1
39999,6,128,256,5.5,16,3000,1,4.6,1
39999,3,32,128,5.2,8,3000,1,4.5,1
30100,6,128,512,6.3,24,3800,1,4.4,1
19960,6,64,128,6.0,24,3500,1,4.3,1
39999,4,64,2,5.5,5,2600,1,4.1,1
14990,4,64,256,6.0,16,3500,1,4.4,1
12990,4,64,512,6.0,8,3300,1,4.3,1
14990,4,64,256,6.0,16,3500,1,4.4,1
12990,4,64,512,6.0,8,3300,1,4.3,1
10490,3,32,256,5.6,8,3000,1,4.4,1
5999,2,16,256,5.45,8,4000,1,4.1,1
6999,3,32,256,5.45,8,4000,1,4.0,1
14990,3,32,128,6.4,8,4050,1,4.0,1
7999,3,32,128,5.2,8,4000,1,4.1,1
7999,3,32,256,5.7,13,3000,1,4.1,1
9999,4,64,256,5.99,8,3760,1,4.3,1
7999,3,32,128,5.2,8,4000,1,4.1,1
5999,2,16,256,5.45,8,4000,1,4.1,1
9999,4,64,256,5.99,8,3760,1,4.3,1
12990,4,64,512,6.0,8,3300,1,4.3,1
10490,3,32,256,5.6,8,3000,1,4.4,1
39999,4,64,2,5.5,5,2600,1,4.1,1
39999,3,32,128,5.2,8,3000,1,4.5,1
39999,3,32,128,5.2,8,3000,1,4.5,1
29990,8,128,256,6.4,25,3700,1,4.4,1
36990,6,64,256,6.3,8,3300,1,4.6,1
36990,6,64,256,6.3,8,3300,1,4.6,1
20990,6,64,256,6.5,16,4000,1,4.5,1
29990,8,128,256,6.4,25,3700,1,4.4,1
29990,8,128,256,6.39,5,3700,1,4.6,1
29799,32,128,256,4.7,5,3700,1,4.5,1
34900,32,64,256,5.5,5,3700,1,4.5,1
29799,32,64,256,4.7,5,3700,1,4.5,1
29799,32,64,256,4.7,5,3700,1,4.5,1
18899,6,64,128,6.3,5,3700,1,4.3,1
18600,4,64,256,5.99,16,4000,1,3.8,1
34900,32,64,256,5.5,16,4000,1,4.5,1
29529,32,64,256,4.7,16,4000,1,4.5,1
31999,3,64,128,5.2,2,3900,1,4.2,1
26990,6,128,256,6.39,5,3700,1,4.5,1
28990,6,128,512,6.7,32,4500,1,4.4,1
26990,6,128,256,6.39,5,3700,1,4.5,1
28990,6,128,512,6.7,32,4500,1,4.4,1
30100,6,128,512,6.3,24,3800,1,4.4,1
19960,6,64,128,6.0,24,3500,1,4.3,1
24499,6,128,256,6.18,20,3500,1,4.6,1
3799,1,8,128,4.5,2,2000,1,3.5,1
7399,3,32,64,5.5,8,3200,1,3.8,1
3799,1,8,128,4.5,2,2000,1,3.5,1
3699,1,8,128,4.5,2,2000,1,3.5,1
4999,1,16,32,5.0,5,2300,1,3.3,1
31999,6,64,2,6.39,48,5000,1,4.6,1
9490,4,64,256,5.6,8,3000,1,4.5,1
9490,4,64,256,5.6,8,3000,1,4.5,1
9490,4,64,256,5.6,8,3000,1,4.5,1
6999,3,32,256,5.45,8,4000,1,4.0,1
7999,3,32,256,5.7,13,3000,1,4.1,1
9999,3,32,128,6.4,8,4050,1,4.0,1
29999,3,32,128,6.0,5,4000,1,4.0,1
7953,3,32,128,5.2,8,4000,1,4.1,1
8399,3,32,128,5.5,5,4900,1,3.7,1
13604,1,8,32,6.0,1,3000,1,4.2,1
7999,2,8,32,5.5,5,2900,1,4.0,1
7999,3,32,128,5.2,8,4000,1,4.1,1
32900,8,128,512,6.3,24,3800,1,4.3,1
28990,6,128,512,6.7,32,4500,1,4.4,1
32999,6,128,256,6.26,32,3750,1,3.9,1
32999,6,128,256,6.26,32,3750,1,3.9,1
3499,1,8,32,5.0,2,2000,1,4.1,1
3499,1,8,32,5.0,2,2000,1,4.1,1
5290,1,16,256,5.0,5,2600,1,4.2,1
4990,2,16,256,5.45,5,2670,1,4.1,1
4245,1,8,128,4.5,2,2150,1,4.0,1
34900,32,64,128,5.5,2,3000,1,4.5,1
5290,1,16,256,5.0,5,2600,1,4.2,1
3849,1,8,128,5.34,5,2700,1,4.1,1
4290,1,8,32,4.5,5,2150,1,4.0,1
4499,1,16,128,5.0,5,2550,1,3.8,1
7990,2,32,512,6.2,5,3400,1,4.3,1
11990,4,64,256,6.0,16,3500,1,4.4,1
9490,4,64,256,5.6,8,3000,1,4.5,1
11990,4,64,256,6.0,16,3500,1,4.4,1
9490,4,64,256,5.6,8,3000,1,4.5,1
5390,1,16,256,5.0,5,2600,1,4.2,1
19499,3,32,32,5.5,5,3500,1,3.7,1
3999,1,8,32,5.0,5,2250,1,3.5,1
7450,3,32,128,5.2,5,3000,1,3.8,1
6499,3,16,64,5.5,5,2800,1,3.3,1
3496,1,8,128,4.5,5,2000,1,3.3,1
3999,1,8,32,4.5,5,2000,1,3.7,1
3999,1,16,64,5.34,5,2300,1,4.0,1
4599,2,16,32,5.0,5,2000,1,3.7,1
39990,32,16,32,5.5,5,3000,1,4.4,1
52499,4,64,32,5.5,8,2915,1,4.6,1
5999,2,16,256,6.1,5,4000,1,4.5,1
5999,2,16,256,6.1,5,4000,1,4.5,1
10999,4,64,256,6.22,13,4230,1,4.4,1
8999,3,32,256,6.22,13,4230,1,4.5,1
10999,4,64,256,6.22,13,4230,1,4.4,1
8999,3,32,256,6.22,13,4230,1,4.5,1
9999,3,64,256,6.22,13,4230,1,4.5,1
16999,6,128,256,6.3,25,4045,1,4.5,1
52499,4,64,32,5.5,8,2915,1,4.6,1
9490,4,64,256,5.6,8,3000,1,4.5,1
6499,2,16,62,5.5,8,3000,1,4.1,1
15690,4,64,128,6.4,8,5000,1,4.4,1
9290,3,32,64,6.22,8,3400,1,4.2,1
4999,2,16,128,5.45,5,2350,1,4.3,1
3999,1,8,64,4.5,5,2000,1,3.7,1
5490,1,8,256,5.0,5,2600,1,4.2,1
3988,2,16,32,5.5,5,2800,1,3.7,1
8368,2,32,128,5.5,5,4900,1,4.1,1
10990,4,64,128,5.5,13,4000,1,4.1,1
12996,3,32,128,5.5,13,4000,1,4.1,1
