,a_lane1_input,a_lane2_input,a_lane1_output,a_lane2_output,a_lane3_output,a_lane4_output,abd_lane_input_sum,a_jun_output_sum,b_lane1_input,b_lane2_input,b_lane1_output,b_lane2_output,b_lane3_output,b_lane4_output,bac_lane_input_sum,b_jun_output_sum,c_lane1_input,c_lane2_input,c_lane1_output,c_lane2_output,c_lane3_output,c_lane4_output,cbd_lane_input_sum,c_jun_output_sum,d_lane1_input,d_lane2_input,d_lane3_input,d_lane1_output,d_lane2_output,d_lane3_output,d_lane4_output,d_lane5_output,dac_lane_input_sum,d_jun_output_sum
25,9,9,10,16,10,10,39,46,7,9,17,19,16,19,39,71,14,13,8,16,18,6,48,48,14,8,15,12,7,8,16,14,60,57
26,12,5,9,6,7,12,40,34,7,12,11,15,8,13,43,47,12,16,8,19,8,8,51,43,16,10,9,9,11,7,18,13,59,58
27,12,16,19,11,15,16,59,61,14,12,12,16,18,7,53,53,15,10,5,13,18,15,56,51,17,7,14,6,7,16,17,17,65,63
28,11,16,14,5,19,10,51,48,16,13,14,16,16,17,51,63,11,15,10,11,12,17,50,50,8,18,19,8,16,11,11,9,67,55
29,8,8,12,13,15,15,32,55,10,19,5,19,14,19,51,57,14,13,10,19,13,10,43,52,6,19,10,9,8,6,19,9,57,51
30,9,16,8,17,13,7,43,45,10,19,19,14,18,17,46,68,8,6,5,16,12,13,32,46,8,7,10,5,13,13,8,10,42,49
31,9,15,12,10,14,11,50,47,11,17,5,11,11,12,46,39,9,12,16,17,19,7,47,59,15,5,18,9,8,11,17,15,56,60
32,15,15,15,18,15,7,54,55,8,14,7,9,8,13,53,37,16,6,10,16,11,7,46,44,16,5,7,16,18,9,10,10,59,63
33,6,9,14,18,16,18,41,66,7,7,17,5,8,12,28,42,8,16,9,16,11,11,50,47,19,11,8,14,18,16,12,10,52,70
34,5,16,13,14,13,11,47,51,16,8,15,13,8,12,38,48,9,12,8,10,15,12,47,45,10,13,12,12,6,7,12,5,49,42
35,8,18,19,15,17,19,46,70,8,16,18,13,12,19,41,62,9,16,19,16,9,8,45,52,12,6,13,13,5,5,5,13,48,41
36,13,11,19,10,12,11,46,52,14,16,5,5,12,10,52,32,9,9,12,9,11,17,40,49,8,11,16,7,17,19,5,8,57,56
37,16,13,14,17,17,6,55,54,7,10,7,15,15,6,41,43,8,10,9,6,15,6,44,36,19,14,6,9,13,8,17,16,63,63
38,11,6,7,11,7,12,51,37,15,19,12,6,6,18,54,42,9,6,7,9,12,16,49,44,19,5,13,11,11,11,19,15,57,67
39,10,9,11,6,15,8,49,40,12,5,6,8,16,16,40,46,13,14,19,10,15,8,57,52,18,18,10,16,7,7,5,16,69,51
40,9,13,18,6,18,14,49,56,17,5,7,9,9,13,40,38,9,5,6,16,7,5,41,34,10,13,12,5,18,12,7,10,53,52
41,5,14,15,8,10,19,38,52,12,13,10,7,18,10,36,45,6,13,11,14,12,13,38,50,7,14,12,10,9,16,7,16,44,58
42,8,7,16,18,13,6,48,53,14,16,17,7,16,12,51,52,13,8,14,13,17,8,54,52,19,17,13,6,10,10,9,18,70,53
43,13,8,19,19,13,11,38,62,10,15,11,19,19,7,54,56,16,7,17,18,16,6,40,57,7,8,8,8,16,14,7,7,52,52
44,11,19,8,14,15,10,40,47,5,10,13,5,7,7,44,32,18,7,19,7,17,19,35,62,5,5,15,17,19,5,12,10,54,63
45,12,12,18,15,5,6,46,44,16,14,11,15,13,9,60,48,18,13,13,10,12,10,53,45,6,12,14,14,14,12,6,8,62,54
46,18,12,16,15,5,17,48,53,7,13,7,8,13,9,45,37,7,11,15,11,7,7,36,40,11,7,10,18,17,13,11,13,53,72
47,19,13,17,9,7,8,56,41,17,7,14,16,11,7,48,48,5,11,12,11,16,5,40,44,7,16,17,10,7,14,18,17,64,66
48,10,9,5,10,18,10,34,43,8,10,9,19,10,10,46,48,18,12,19,5,12,7,45,43,7,16,9,10,19,11,18,11,60,69
49,6,18,9,11,12,15,53,47,15,13,13,9,15,17,49,54,15,8,18,9,17,17,52,61,14,7,12,9,15,19,12,8,54,63
50,18,7,17,18,5,6,38,46,6,14,7,11,13,16,54,47,16,11,7,8,14,6,40,35,7,17,17,7,14,12,11,9,75,53
51,6,8,10,11,6,17,45,44,15,16,17,12,8,19,45,56,8,15,16,19,13,18,54,66,16,12,12,19,8,11,15,6,54,59
52,10,19,13,12,14,11,44,50,10,17,5,6,17,7,53,35,16,12,15,11,12,6,43,44,5,10,8,17,17,13,6,13,49,66
53,7,6,5,19,16,6,26,46,5,15,15,14,7,8,40,44,13,18,16,19,18,14,44,67,8,19,7,15,17,6,7,13,54,58
54,15,7,17,16,19,10,54,62,15,11,9,7,6,10,48,32,7,13,13,18,16,16,52,63,17,6,7,14,17,18,6,16,52,71
55,5,17,17,19,16,13,38,65,10,11,10,13,17,11,34,51,8,8,10,13,15,9,32,47,6,19,9,7,13,9,16,16,47,61
56,15,9,19,12,8,6,53,45,19,17,13,7,8,9,57,37,6,12,13,7,15,17,47,52,10,7,7,15,8,15,5,6,45,49
57,17,18,14,14,19,11,64,58,18,6,9,13,5,7,56,34,15,10,17,15,12,14,54,58,11,8,15,7,15,5,7,5,66,39
58,5,8,10,17,11,19,38,57,15,9,13,17,10,16,37,56,8,11,17,12,7,6,44,42,10,7,19,6,10,9,16,16,49,57
59,18,5,13,18,15,19,49,65,13,10,13,8,9,16,53,46,12,9,17,19,18,19,47,73,13,9,11,14,17,12,17,12,63,72
60,10,19,9,12,7,14,52,42,17,19,5,8,6,7,65,26,19,9,13,14,5,14,51,46,6,16,19,15,11,9,9,10,70,54
61,17,15,15,6,19,13,52,53,12,8,15,6,10,5,54,36,17,7,14,16,6,6,44,42,8,11,10,13,8,8,11,17,63,57
62,12,10,6,15,15,18,45,54,15,13,19,7,13,19,55,58,15,19,13,7,9,10,57,39,8,12,16,17,6,15,12,17,63,67
63,17,6,5,11,15,13,42,44,9,5,15,16,13,13,47,57,16,8,13,18,15,5,43,51,10,13,9,9,7,17,10,6,65,49
64,15,17,7,5,18,9,64,39,18,10,18,15,8,19,52,60,9,8,18,16,12,10,49,56,14,10,19,12,11,19,13,12,67,67
65,19,14,11,9,6,8,45,34,6,19,10,18,5,6,52,39,8,11,17,18,11,15,31,61,6,12,16,8,15,9,7,14,61,53
66,19,5,5,5,8,8,40,26,10,11,8,9,11,19,46,47,6,11,6,9,8,19,33,42,6,17,19,13,8,7,6,18,67,52
67,18,7,18,13,9,10,42,50,12,18,9,6,6,5,56,26,8,14,15,12,5,6,39,38,5,13,10,17,10,12,17,14,54,70
68,17,17,19,12,7,16,50,54,8,13,10,12,6,16,44,44,6,18,8,18,8,7,40,41,8,14,6,19,9,5,8,9,51,50
69,9,11,16,6,12,15,47,49,10,18,6,10,15,17,55,48,18,16,6,10,19,14,61,49,17,7,19,8,16,5,10,14,70,53
70,12,9,18,11,14,6,55,49,15,16,6,13,13,16,50,48,7,8,18,19,15,18,49,70,19,17,16,9,9,6,9,18,71,51
71,6,18,5,6,17,9,59,37,18,16,13,8,14,14,56,49,16,18,16,16,7,8,69,47,17,19,8,12,15,8,9,12,66,56
72,8,8,18,6,7,7,35,38,5,9,17,7,11,7,36,42,14,7,15,18,13,17,40,63,14,12,5,17,8,12,7,9,53,53
73,12,5,17,11,16,12,37,56,10,9,11,19,8,19,42,57,11,14,13,15,11,9,45,48,10,6,15,18,16,15,5,14,54,68
74,7,16,18,9,17,6,46,50,6,6,5,14,9,15,32,43,13,18,7,13,9,6,54,35,17,15,10,19,12,19,9,14,62,73
75,14,5,16,9,8,13,43,46,6,12,6,19,12,10,51,47,19,8,6,12,15,10,51,43,18,12,18,6,19,14,13,14,81,66
76,14,10,14,5,19,13,46,51,8,19,6,11,13,13,58,43,17,12,16,19,13,6,51,54,14,8,7,5,10,10,11,16,60,52
77,9,16,12,12,6,16,58,46,18,11,12,14,15,15,53,56,15,7,6,17,15,6,55,44,15,10,13,14,9,11,7,15,62,56
78,11,12,6,6,17,19,45,48,6,13,16,13,10,18,45,57,15,10,18,18,8,10,47,54,16,19,11,9,15,8,16,5,72,53
79,7,16,13,15,19,10,59,57,19,7,14,18,6,18,40,56,7,15,12,11,14,5,58,42,17,6,11,6,19,10,7,18,48,60
80,10,7,5,5,13,11,54,34,19,14,5,8,14,17,51,44,8,15,10,10,5,7,60,32,18,14,6,17,7,19,15,9,56,67
81,18,16,13,17,13,12,53,55,11,19,19,10,11,14,67,54,19,7,16,12,11,12,45,51,8,13,16,8,9,16,15,10,74,58
82,8,14,16,19,13,15,46,63,11,10,5,18,19,18,37,60,8,5,17,5,17,14,37,53,13,19,12,15,18,9,16,18,60,76
83,15,9,18,5,8,13,48,44,6,17,16,6,11,7,44,40,6,19,14,18,8,8,49,48,18,10,14,6,12,18,18,19,63,73
84,19,15,6,10,19,15,52,50,9,19,16,18,12,5,52,51,5,7,17,14,10,13,30,54,9,16,11,17,14,6,17,10,60,64
85,16,12,5,14,14,16,52,49,7,17,14,6,13,9,52,42,12,5,10,7,14,14,41,45,17,18,13,12,18,18,11,13,76,72
86,16,15,11,7,5,16,66,39,17,18,6,14,7,18,56,45,5,7,12,15,14,17,47,58,18,5,12,6,15,19,15,18,56,73
87,13,18,15,13,12,17,58,57,18,9,10,6,18,11,50,45,10,17,11,18,13,10,54,52,9,17,8,14,17,16,8,13,57,68
88,10,10,9,17,12,8,41,46,8,12,11,13,7,8,47,39,17,19,12,13,5,15,57,45,13,19,15,14,18,14,12,17,74,75
89,13,19,16,17,14,8,55,55,15,12,15,5,14,16,47,50,7,11,8,7,8,12,41,35,8,13,15,15,14,9,9,5,56,52
90,15,16,14,15,12,8,52,49,8,6,14,7,9,11,38,41,9,18,10,12,18,11,48,51,13,14,10,14,8,16,10,14,61,62
91,19,14,10,8,5,8,48,31,9,8,17,6,18,13,52,54,16,10,13,18,15,12,41,58,6,19,13,17,13,8,6,16,73,60
92,8,10,9,17,18,5,52,49,16,15,10,12,8,16,47,46,8,7,16,15,12,18,49,61,18,12,6,13,16,9,7,19,52,64
93,16,19,9,11,6,14,57,40,10,14,15,12,6,7,47,40,7,5,8,16,12,7,34,43,12,18,16,11,13,11,5,10,69,50
94,9,11,10,12,9,14,44,45,8,18,17,8,12,11,52,48,17,10,7,5,7,16,51,35,16,14,6,5,15,9,14,7,62,50
95,18,18,7,14,10,16,60,47,13,19,14,10,17,9,57,50,7,7,13,7,16,13,38,49,11,9,18,16,14,12,12,14,63,68
96,10,13,18,14,9,6,36,47,7,5,7,19,8,10,34,44,12,15,5,12,15,11,40,43,6,13,14,13,11,19,14,14,55,71
97,8,9,8,9,13,12,41,42,7,11,7,12,5,8,39,32,13,5,11,16,8,5,42,40,17,15,18,9,11,18,11,18,71,67
98,9,8,16,15,15,7,39,53,15,8,16,8,10,15,40,49,8,12,11,6,7,7,42,31,7,17,9,6,6,13,16,8,50,49
99,9,19,19,12,13,19,52,63,15,16,13,7,17,6,45,43,5,13,14,10,12,8,42,44,9,6,17,7,12,8,5,8,46,40
100,15,12,15,12,14,10,50,51,12,5,6,13,10,13,51,42,19,6,17,10,6,9,48,42,11,16,15,5,6,13,10,9,76,43
101,7,13,11,13,19,12,50,55,16,10,7,18,17,18,47,60,14,7,8,7,11,14,51,40,14,11,5,15,15,15,16,15,51,76
102,12,5,10,10,16,16,47,52,13,13,17,9,19,11,54,56,16,17,14,18,12,18,63,62,17,14,9,6,14,7,13,18,68,58
103,7,9,14,12,9,9,37,44,11,6,16,13,11,18,29,58,5,19,17,14,18,10,45,59,10,14,17,10,9,8,5,11,53,43
104,6,9,12,19,17,19,36,67,9,9,11,11,10,17,33,49,9,10,12,10,16,19,40,57,12,16,9,9,16,18,15,11,52,69
105,10,10,5,15,10,8,51,38,15,15,6,6,17,19,46,48,6,12,8,5,15,19,49,47,16,11,18,17,18,13,7,10,61,65
106,12,16,10,7,13,10,65,40,19,19,9,6,8,17,64,40,14,5,14,12,10,10,56,46,18,9,16,19,8,6,16,9,69,58
107,9,19,10,8,7,11,53,36,19,9,8,14,10,14,43,46,6,5,8,11,18,18,36,55,6,6,18,12,9,19,5,15,45,60
108,7,5,7,9,13,19,36,48,7,12,16,6,8,10,34,40,8,9,16,7,15,5,41,43,17,10,18,13,9,17,17,11,60,67
109,5,8,5,14,9,5,28,33,8,11,13,12,10,13,36,48,12,9,5,9,13,11,36,38,7,11,18,14,8,17,5,15,53,59
110,13,13,7,8,10,17,61,42,16,13,17,13,15,7,56,52,14,13,7,19,11,11,62,48,19,18,13,16,6,19,7,16,77,64
111,9,11,13,17,13,15,42,58,16,12,16,15,12,18,50,61,13,19,12,9,18,14,54,53,6,16,10,12,10,13,10,10,54,55
112,13,10,12,12,9,8,42,41,7,12,9,10,19,8,46,46,14,18,6,7,6,7,51,26,12,16,6,19,8,14,6,9,61,56
113,6,17,15,6,16,16,43,53,9,15,11,13,7,11,45,42,15,9,14,9,17,6,44,46,11,17,12,9,9,5,5,10,61,38
114,6,15,15,17,11,6,53,49,18,13,6,18,13,7,52,44,15,17,7,10,6,18,64,41,14,6,15,10,18,18,11,16,56,73
115,12,16,13,18,18,14,51,63,12,15,8,14,15,11,53,48,14,14,10,13,8,12,51,43,11,8,16,10,12,14,6,5,61,47
116,11,11,9,17,5,18,59,49,18,8,14,17,17,15,45,63,8,16,14,18,16,13,61,61,19,9,14,15,5,10,11,16,61,57
117,11,9,11,17,6,12,55,46,16,6,7,19,5,5,41,36,8,7,18,8,5,9,50,40,19,6,12,15,15,13,17,18,56,78
118,10,16,5,9,15,11,47,40,7,9,6,15,15,17,34,53,8,16,15,5,11,12,45,43,14,15,16,9,15,17,11,12,63,64
119,9,18,12,12,16,5,40,45,6,6,5,8,15,13,28,41,7,8,19,5,6,14,28,44,7,17,10,19,18,18,15,11,50,81
120,10,9,12,7,13,17,47,49,12,18,6,11,18,17,49,52,9,9,8,17,7,13,46,45,16,9,18,9,6,6,19,17,62,57
121,6,6,11,6,12,8,39,37,13,19,10,5,5,19,54,39,16,16,7,10,14,5,59,36,14,5,16,13,16,6,12,16,57,63
122,19,16,6,19,11,8,59,44,19,6,19,9,10,7,51,45,7,13,19,9,7,7,44,42,5,18,16,18,16,14,18,18,65,84
123,19,18,8,11,5,14,72,38,17,13,11,19,17,7,60,54,11,8,11,8,18,7,54,44,18,14,15,13,5,19,11,18,77,66
124,13,13,8,10,19,19,52,56,18,15,19,14,11,14,55,58,9,6,8,12,9,19,41,48,8,18,6,8,8,17,18,16,54,67
125,19,14,9,18,18,8,59,53,12,12,7,10,5,12,52,34,9,10,13,5,11,9,45,38,14,15,17,10,5,17,8,16,74,56
126,13,14,11,7,8,16,62,42,16,18,9,12,17,5,58,43,11,16,8,18,16,14,62,56,19,17,6,13,8,9,15,6,66,51
127,7,13,7,11,12,12,58,42,19,17,5,15,16,19,62,55,19,14,16,15,14,17,71,62,19,7,13,11,12,16,19,19,65,77
128,13,10,8,11,15,5,55,39,18,12,18,17,7,6,50,48,7,17,18,11,18,15,56,62,14,13,10,17,17,13,16,10,57,73
129,11,10,17,15,15,16,47,63,9,7,14,6,6,8,41,34,14,12,9,9,6,18,52,42,17,5,11,6,17,17,15,12,58,67
130,17,10,17,17,6,14,53,54,7,7,10,11,18,16,43,55,12,13,13,7,18,10,51,48,19,17,5,19,8,11,12,12,70,62
131,8,11,16,9,12,14,33,51,7,11,19,12,12,15,42,58,16,18,13,5,18,13,48,49,7,16,17,6,7,19,18,15,64,65
132,6,6,5,6,9,10,39,30,9,16,19,12,6,5,41,42,10,12,11,19,16,16,49,62,18,9,19,7,15,18,15,5,62,60
133,7,9,15,6,16,19,34,56,5,6,12,8,8,17,27,45,9,13,17,15,7,13,40,52,13,12,11,11,11,15,11,5,52,53
134,14,9,19,7,16,15,54,57,14,9,14,16,18,16,42,64,5,14,11,12,11,18,50,52,17,10,12,18,13,14,6,10,58,61
135,15,11,9,18,5,15,43,47,11,18,7,13,10,11,56,41,12,16,6,17,15,16,45,54,6,14,19,19,14,17,10,10,66,70
136,6,18,17,10,5,19,40,51,7,7,12,17,7,14,27,50,7,16,11,17,14,5,39,47,9,18,17,12,6,14,17,11,57,60
137,9,18,14,15,12,13,48,54,5,19,10,10,16,17,48,53,15,19,18,5,19,9,55,51,16,8,16,18,19,8,15,8,64,68
138,14,14,17,15,8,15,49,55,5,15,5,12,6,12,47,35,13,15,6,7,15,12,49,40,16,10,9,11,7,14,15,5,62,52
139,8,10,9,19,19,14,37,61,5,10,5,9,6,19,33,39,10,10,7,18,11,6,39,42,14,15,6,17,11,11,16,15,53,70
140,18,13,7,6,11,9,49,33,12,15,6,10,6,12,64,34,19,5,7,13,17,12,42,49,6,16,16,10,15,12,11,14,75,62
141,13,10,10,16,19,11,46,56,18,8,13,7,18,7,50,45,11,12,12,10,11,15,46,48,5,17,16,9,15,9,8,9,62,50
142,16,10,5,15,12,7,41,39,9,5,9,5,6,13,39,33,9,17,8,19,5,15,41,47,6,16,7,9,15,10,17,9,54,60
143,8,12,9,14,15,13,55,51,19,12,7,5,10,13,50,35,11,16,13,15,8,17,62,53,16,13,14,6,7,11,17,6,62,47
144,14,8,9,15,17,19,43,60,13,19,18,15,11,5,64,49,18,14,18,10,9,18,53,55,8,5,8,12,16,8,9,8,53,53
145,17,17,18,18,16,10,55,62,6,11,6,11,7,18,44,42,10,19,10,8,9,10,50,37,15,9,14,9,7,19,16,14,65,65
146,11,9,8,12,13,12,46,45,19,10,17,11,9,5,56,42,16,6,19,9,16,19,48,63,7,8,8,16,14,14,5,7,50,56
147,10,10,10,19,5,19,33,53,5,11,10,7,11,13,43,41,17,11,5,17,10,5,41,37,8,7,18,11,19,9,5,6,60,50
148,11,10,6,8,7,12,43,33,6,5,15,10,9,6,35,40,13,11,18,15,8,16,46,57,16,14,9,10,15,19,5,7,63,56
149,10,19,17,13,19,7,62,56,19,12,9,6,5,8,55,28,14,9,9,16,11,14,56,50,14,18,15,11,19,13,13,12,71,68
150,9,19,15,18,10,10,47,53,12,5,10,15,12,17,36,54,10,19,6,13,13,13,48,45,7,11,10,10,16,9,11,17,47,63
151,15,11,13,16,19,14,44,62,10,10,18,6,19,12,50,55,15,11,7,12,11,5,44,35,8,18,8,18,17,7,10,7,64,59
152,11,18,7,7,16,12,54,42,16,15,9,5,10,7,60,31,18,12,15,11,6,5,55,37,9,19,6,16,14,14,8,8,63,60
153,19,10,5,7,6,16,52,34,9,6,7,15,8,17,47,47,13,17,12,16,9,17,53,54,14,12,14,16,16,15,11,7,72,65
154,10,13,14,17,15,9,38,55,10,17,9,11,19,5,56,44,19,18,7,6,11,5,52,29,5,15,15,7,19,17,16,9,64,68
155,14,17,6,19,15,11,51,51,5,19,17,17,16,15,48,65,10,11,18,9,10,10,41,47,15,8,8,14,9,19,5,17,55,64
156,15,16,10,16,7,5,52,38,12,17,18,18,17,17,60,70,16,13,8,5,11,8,50,32,9,17,10,16,19,11,5,12,67,63
157,11,12,14,8,15,6,45,43,8,10,15,9,18,7,39,49,10,13,19,12,10,17,45,58,14,7,9,8,8,12,8,17,51,53
158,19,16,17,14,12,18,56,61,5,17,12,5,7,9,54,33,13,10,6,12,11,11,44,40,16,10,5,18,11,15,10,18,63,72
159,6,10,18,8,6,19,45,51,15,5,6,12,15,11,37,44,11,19,5,9,6,12,59,32,14,5,9,6,5,9,16,13,45,49
160,10,5,11,17,5,10,37,43,6,18,9,15,19,19,48,62,14,12,15,5,14,16,48,50,16,8,12,14,16,17,7,13,60,67
161,15,13,8,5,17,17,49,47,10,18,12,13,6,14,51,45,8,6,11,12,11,14,35,48,11,13,16,6,18,13,14,17,63,68
162,14,17,9,16,19,6,64,50,18,14,11,12,12,15,62,50,16,8,19,9,7,18,57,53,15,12,13,10,14,5,14,12,70,55
163,16,14,14,19,16,13,47,62,8,11,12,12,14,7,40,45,5,10,16,7,8,7,32,38,9,18,7,14,10,17,19,5,55,65
164,15,15,12,12,17,14,53,55,9,14,18,8,14,16,52,56,14,8,17,6,15,10,45,48,14,7,16,7,13,6,5,14,66,45
165,8,16,18,15,6,8,48,47,11,10,10,18,19,6,40,53,11,18,13,13,5,17,53,48,13,10,18,10,5,13,13,5,60,46
166,12,15,11,6,18,15,44,50,11,17,8,11,14,19,53,52,13,5,8,15,6,11,35,40,6,17,18,5,19,9,12,7,66,52
167,7,14,13,19,16,8,38,56,6,8,9,19,15,7,29,50,8,11,6,6,14,5,36,31,11,10,12,19,17,15,6,8,48,65
168,8,5,11,7,11,14,32,43,8,13,17,13,15,14,46,59,17,15,9,18,5,16,51,48,11,11,12,11,9,12,14,13,59,59
169,10,15,17,19,9,14,49,59,18,5,7,15,13,6,46,41,13,10,5,13,12,19,47,49,6,9,15,12,5,19,19,8,53,63
170,5,11,5,13,6,10,47,34,17,11,13,18,16,15,46,62,13,12,7,18,5,12,56,42,14,7,10,14,17,8,7,9,49,55
171,10,10,12,10,12,6,42,40,7,18,14,17,18,6,51,55,16,16,15,12,8,13,54,48,15,12,10,13,15,19,18,8,63,73
172,15,16,10,7,10,19,51,46,15,7,13,15,18,15,49,61,12,5,8,14,18,16,37,56,5,7,13,19,13,14,13,6,52,65
173,19,8,7,17,18,15,40,57,5,15,5,9,5,8,48,27,9,5,15,13,5,19,27,52,8,12,8,13,7,12,13,19,56,64
174,6,10,16,16,8,8,43,48,8,18,9,11,15,5,45,40,13,6,14,15,13,11,46,53,19,18,17,14,18,16,18,12,73,78
175,6,12,9,19,8,11,35,47,8,12,11,13,13,12,34,49,8,12,18,7,11,13,37,49,9,17,5,13,5,10,5,16,45,49
176,15,13,14,9,7,17,44,47,7,18,8,17,14,10,50,49,10,6,18,5,17,16,32,56,9,16,5,11,16,14,10,15,55,66
177,7,14,16,19,15,8,52,58,12,8,19,7,5,11,40,42,13,17,6,11,16,14,61,47,19,7,5,18,10,15,18,9,51,70
178,14,14,8,15,5,14,48,42,14,13,9,17,6,10,57,42,16,18,11,12,6,16,54,45,6,13,19,14,11,18,12,15,68,70
179,13,7,15,18,18,15,36,66,9,18,7,7,7,5,54,26,14,9,14,14,6,18,39,52,7,5,17,19,10,11,7,19,56,66
180,7,19,15,6,11,16,50,48,7,12,10,5,17,19,44,51,18,18,16,11,6,18,60,51,17,7,9,5,11,5,7,5,58,33
181,9,14,11,16,18,7,52,52,14,9,6,8,18,7,48,39,16,11,15,5,5,13,56,38,15,12,7,16,10,10,8,15,59,59
182,13,18,14,7,6,8,53,35,8,17,16,15,12,7,55,50,17,8,18,14,16,11,47,59,14,19,13,5,15,8,13,12,76,53
183,11,16,8,12,7,9,46,36,12,15,9,10,11,15,49,45,11,9,16,19,8,10,39,53,7,18,17,6,6,11,14,18,64,55
184,10,13,16,16,5,14,42,51,13,17,9,7,7,7,48,30,8,13,5,18,6,18,40,47,6,12,15,12,14,18,13,17,51,74
185,17,17,7,15,16,17,56,55,8,14,18,5,9,19,48,51,9,9,19,12,12,16,40,59,14,6,10,6,5,13,10,5,56,39
186,17,16,6,7,11,14,54,38,16,17,15,15,6,7,68,43,18,8,18,14,17,15,47,64,5,14,10,7,13,13,6,18,64,57
187,13,6,19,12,11,8,40,50,16,19,14,15,17,15,65,61,17,16,18,6,7,9,54,40,5,10,10,16,16,15,8,18,55,73
188,5,9,17,11,12,9,40,49,13,16,9,5,18,13,51,45,17,17,5,19,14,16,60,54,13,9,7,11,15,9,7,17,51,59
189,15,19,15,5,15,13,62,48,14,5,19,8,7,13,50,47,16,7,6,10,7,6,51,29,14,9,10,8,13,16,15,19,64,71
190,18,16,14,7,15,13,60,49,17,5,6,6,10,15,55,37,15,8,18,15,7,18,49,58,9,8,16,9,6,12,6,17,66,50
