Price_in_Rupees,Off(%),Ram,Rom,Expandable_GB/TB,Screen_in_inch,Secondary_Camera(MP),Battery_details,Warranty(Year),Rating,Dual_sim_num
29990,40,8,128.0,256,64,25,3700,1,4.4,1
36990,50,6,64.0,256,63,8,3300,0,4.6,1
36990,50,6,64.0,256,63,8,3300,0,4.6,1
20990,27,6,64.0,256,65,16,4000,1,4.5,1
29990,40,8,128.0,256,64,25,3700,1,4.4,1
29990,14,8,128.0,256,639,5,3700,1,4.6,1
29799,14,32,0.0,256,47,5,3700,1,4.5,1
34900,14,32,0.0,256,55,5,3700,1,4.5,1
29799,14,32,0.0,256,47,5,3700,1,4.5,1
29799,14,32,0.0,256,47,5,3700,1,4.5,1
18899,47,6,64.0,128,63,5,3700,0,4.3,1
18600,37,4,64.0,256,599,16,4000,0,3.8,1
34900,37,32,0.0,256,55,16,4000,1,4.5,1
29529,37,32,0.0,256,47,16,4000,1,4.5,1
31999,37,3,64.0,128,52,2,3900,1,4.2,1
26990,18,6,128.0,256,639,5,3700,1,4.5,1
28990,6,6,128.0,512,67,32,4500,1,4.4,1
26990,18,6,128.0,256,639,5,3700,1,4.5,1
28990,6,6,128.0,512,67,32,4500,1,4.4,1
30100,14,6,128.0,512,63,24,3800,1,4.4,1
19960,28,6,64.0,128,6,24,3500,0,4.3,1
24499,23,6,128.0,256,618,20,3500,0,4.6,1
3799,37,1,8.0,128,45,2,2000,1,3.5,1
7399,37,3,32.0,64,55,8,3200,0,3.8,1
3799,25,1,8.0,128,45,2,2000,0,3.5,1
3699,25,1,8.0,128,45,2,2000,0,3.5,1
4999,25,1,16.0,32,5,5,2300,0,3.3,1
31999,11,6,64.0,2,639,48,5000,1,4.6,1
9490,26,4,64.0,256,56,8,3000,1,4.5,1
9490,26,4,64.0,256,56,8,3000,1,4.5,1
9490,26,4,64.0,256,56,8,3000,1,4.5,1
6999,12,3,32.0,256,545,8,4000,1,4.0,1
7999,20,3,32.0,256,57,13,3000,1,4.1,1
9999,20,3,32.0,128,64,8,4050,1,4.0,1
29999,20,3,32.0,128,6,5,4000,0,4.0,1
7953,20,3,32.0,128,52,8,4000,1,4.1,1
8399,18,3,32.0,128,55,5,4900,1,3.7,1
13604,18,1,8.0,32,6,1,3000,0,4.2,1
7999,27,2,8.0,32,55,5,2900,1,4.0,1
7999,11,3,32.0,128,52,8,4000,1,4.1,1
32900,17,8,128.0,512,63,24,3800,1,4.3,1
28990,6,6,128.0,512,67,32,4500,1,4.4,1
32999,8,6,128.0,256,626,32,3750,1,3.9,1
32999,8,6,128.0,256,626,32,3750,1,3.9,1
3499,30,1,8.0,32,5,2,2000,1,4.1,1
3499,30,1,8.0,32,5,2,2000,1,4.1,1
5290,10,1,16.0,256,5,5,2600,1,4.2,1
4990,41,2,16.0,256,545,5,2670,1,4.1,1
4245,3,1,8.0,128,45,2,2150,0,4.0,1
34900,3,32,64.0,128,55,2,3000,1,4.5,1
5290,10,1,16.0,256,5,5,2600,1,4.2,1
3849,3,1,8.0,128,534,5,2700,0,4.1,1
